Date,PEP,KO,Spread,Z_Score,Signal
2019-08-14,104.01974487304688,42.86355972290039,-8.339173922794203,-0.6262807921328727,0
2019-08-15,105.3087387084961,43.57538986206055,-8.316070825528172,-0.5677733217808368,0
2019-08-16,106.14655303955078,44.01219940185547,-8.25506140951802,-0.49797862123669384,0
2019-08-19,106.79911804199219,44.23868942260742,-8.005277356895746,-0.3569582058490769,0
2019-08-20,106.38824462890625,43.58346939086914,-7.2509332215533675,-0.01553689443682702,0
2019-08-21,106.61380767822266,43.76143264770508,-7.341853032644266,0.015901306745503264,0
2019-08-22,106.87159729003906,44.07691955566406,-7.645112936481297,-0.04987737836684784,0
2019-08-23,104.94621276855469,43.47023391723633,-8.491591566764527,-0.40205804559624175,0
2019-08-26,107.74163055419922,44.117347717285156,-6.846975525759291,0.5518216460622253,0
2019-08-27,108.56336975097656,44.26295471191406,-6.284178084571124,1.0314796212435018,0
2019-08-28,108.9097671508789,44.57843017578125,-6.498809848599237,1.0309274747574397,0
2019-08-29,109.57842254638672,44.52988815307617,-5.743829228048924,1.7663730917585303,0
2019-08-30,110.15040588378906,44.52180480957031,-5.157470790303549,2.1986640851328283,-1
2019-09-03,110.73853302001953,44.732120513916016,-4.94336083539082,2.375836828003426,-1
2019-09-04,112.09996795654297,45.112300872802734,-4.258023704618722,2.476958633146613,-1
2019-09-05,110.30323028564453,44.58651351928711,-5.119721814176643,1.7283768935413792,0
2019-09-06,111.4307632446289,44.675506591796875,-4.150450637118908,2.0924032123737732,-1
2019-09-09,110.64393615722656,44.101173400878906,-3.915906154230555,1.9939712273121617,0
2019-09-10,110.20588684082031,44.00410461425781,-4.181332156182464,1.6853356960741033,0
2019-09-11,110.6114730834961,44.30339050292969,-4.307984173305073,1.491237345571227,0
2019-09-12,111.36589050292969,44.57843017578125,-4.0426864965484555,1.5011059962059525,0
2019-09-13,110.67636108398438,44.21176528930664,-4.0801534946010065,1.3736330537164703,0
2019-09-16,109.41094207763672,43.967315673828125,-4.910852913840728,0.9077667395470618,0
